Time,X Position,Y Position
0.033,1110.2421875,592.48828125
0.067,1113.51171875,568.48828125
0.100,1114.0390625,544.48828125
0.133,1113.71875,523.80078125
0.167,1111.94921875,510.046875
0.200,1104.08984375,479.48828125
0.233,1100.60546875,476.1484375
0.267,1097.41796875,474.890625
0.300,1094.66015625,475.23046875
0.333,1092.09765625,477.40625
0.367,1090.921875,481.1953125
0.400,1090.421875,486.80078125
0.433,1090.54296875,493.23046875
0.467,1091.9453125,497.671875
0.500,1092.6484375,494.93359375
0.533,1093.515625,487.16796875
0.567,1092.890625,478.75
0.600,1084.390625,479.31640625
0.633,1084.984375,481.52734375
0.667,1085.41796875,488.39453125
0.700,1085.0859375,499.73046875
0.733,1084.5859375,513.109375
0.767,1081.3046875,524.671875
0.800,1077.92578125,534.92578125
0.833,1074.21484375,539.75390625
0.867,1070.46484375,541.33984375
0.900,1067.03125,541.54296875
0.933,1064.53515625,539.3046875
0.967,1062,535.171875
1.000,1059.31640625,529.48046875
1.033,1057.78125,524.078125
1.067,1056.5234375,520.3828125
1.100,1057.23046875,517.20703125
1.133,1059.65234375,508.87890625
1.167,1061.4140625,490.453125
1.200,1063.7421875,471.01171875
1.233,1062.2421875,455.5390625
1.267,1063.7421875,450.015625
1.300,1067.3359375,445.3515625
1.333,1068.9921875,447.76953125
1.367,1068.9921875,447.76953125
1.400,1072.3984375,455.484375
1.433,1074.85546875,463.203125
1.467,1079.09765625,475.46484375
1.500,1080.80078125,480.0078125
1.533,1083.05859375,484.6640625
1.567,1083.05859375,484.6640625
1.600,1088.25390625,494.1640625
1.633,1091.4375,500.72265625
1.667,1096.31640625,510.109375
1.700,1102.5390625,520.65234375
1.733,1108.16796875,527.2734375
1.767,1108.16796875,527.2734375
1.800,1113.3203125,525.0390625
1.833,1124.77734375,512.58203125
1.867,1129.1875,512.234375
1.900,1132.91015625,516.96875
1.933,1137.265625,527.3828125
1.967,1137.265625,527.3828125
2.000,1143.03515625,546.859375
2.033,1143.765625,554.2421875
2.067,1144.17578125,560.1328125
2.100,1143.859375,566.05078125
2.133,1142.71875,572.28125
2.167,1142.06640625,578.9921875
2.200,1141.671875,586.79296875
2.233,1142.33203125,596.03125
2.267,1143.63671875,607.58203125
2.300,1143.63671875,607.58203125
2.333,1145.7890625,622.22265625
2.367,1147.19140625,639.8671875
2.400,1147.93359375,658.3359375
2.433,1146.29296875,676.1015625
2.467,1128.828125,679.53515625
2.500,1124.2890625,681.47265625
2.533,1121.7890625,681.09765625
2.567,1119.4921875,681.23046875
2.600,1117.140625,681.83984375
2.633,1113.7421875,682.80859375
2.667,1110.23046875,684.171875
2.700,1107.375,683.4296875
2.733,1107.25390625,679.0390625
2.767,1109.5703125,672.46484375
2.800,1113.2734375,665.69921875
2.833,1117.86328125,659.12890625
2.867,1121.49609375,652.92578125
2.900,1124.11328125,647.78515625
2.933,1126.54296875,644.11328125
2.967,1127.9765625,641.40234375
3.000,1128.49609375,640.03125
3.033,1128.578125,639.69921875
3.067,1127.94921875,640.4765625
3.100,1126.52734375,642.375
3.133,1124.671875,645.5546875
3.167,1122.30078125,649.96875
3.200,1120.66796875,655.265625
3.233,1118.90625,660.59375
3.267,1118.40625,665.74609375
3.300,1118.90625,669.48046875
3.333,1119.5078125,671.390625
3.367,1120.19921875,670.5
3.400,1118.75,667.9921875
3.433,1116.36328125,668.73828125
3.467,1116.05859375,677.30859375
3.500,1114.55859375,695.0546875
3.533,1110.78515625,714.78125
3.567,1103.96875,734.12890625
3.600,1095.54296875,751.6640625
3.633,1086.1015625,767.33203125
3.667,1077.55859375,779.921875
3.700,1069.05859375,789.453125
3.733,1061.42578125,796.85546875
3.767,1054.21484375,803.7578125
3.800,1047.3203125,811.18359375
3.833,1042.81640625,816.671875
3.867,1042.06640625,814.80859375
3.900,1044.67578125,806.30859375
3.933,1047.0234375,799.0859375
3.967,1045.5234375,797.15625
4.000,1041.0234375,797.4453125
4.033,1035.5234375,796.20703125
4.067,1031.0234375,792.640625
4.100,1028.671875,786.80859375
4.133,1028.57421875,779.02734375
4.167,1030.66015625,769.52734375
4.200,1034.16015625,758.18359375
4.233,1038.4921875,745.22265625
4.267,1043.96875,730.42578125
4.300,1049.46875,714.1953125
4.333,1055.21484375,694.8359375
4.367,1059.79296875,673.12109375
4.400,1063.91796875,653.73046875
4.433,1067.65625,638.51953125
4.467,1075.26953125,618.2890625
4.500,1078.90234375,610.6328125
4.533,1078.9453125,610.64453125
4.567,1081.63671875,606.45703125
4.600,1085.44140625,607.12890625
4.633,1095.8515625,614.4609375
4.667,1099.09765625,615.8046875
4.700,1099.09765625,615.8046875
4.733,1102.609375,614.671875
4.767,1109.27734375,609.3046875
4.800,1111.796875,607.72265625
4.833,1114.359375,608.51171875
4.867,1114.4296875,608.52734375
4.900,1116.2578125,609.29296875
4.933,1115.36328125,606.734375
4.967,1114.21484375,604.23828125
5.000,1112.78125,601.85546875
5.033,1111.17578125,599.72265625
5.067,1111.23828125,599.6953125
5.100,1105.8046875,598
5.133,1103.625,599.375
5.167,1101.9375,603.015625
5.200,1100.39453125,608.26171875
5.233,1100.390625,608.26171875
5.267,1094.17578125,617.77734375
5.300,1090.51171875,618.9453125
5.333,1087.42578125,618.65625
5.367,1084.99609375,618.45703125
5.400,1083.37890625,618.3984375
5.433,1082.74609375,618.27734375
5.467,1082.3984375,618.046875
5.500,1082.421875,617.34375
5.533,1082.6015625,616.62109375
5.567,1083.1015625,615.8515625
5.600,1082.97265625,615.76953125
5.633,1085.5546875,614.546875
5.667,1087.95703125,612.77734375
5.700,1091.70703125,611.11328125
5.733,1096.0078125,609.78125
5.767,1100.8828125,608.56640625
5.800,1105.51953125,605.13671875
5.833,1110.92578125,595.9765625
5.867,1114.48046875,582.3203125
5.900,1116.0625,568.02734375
5.933,1116.21875,556.3125
5.967,1115.71875,549.02734375
6.000,1114.828125,547.07421875
6.033,1114.01953125,549.62109375
6.067,1112.41015625,555.46875
6.100,1109.77734375,558.98828125
6.133,1107.9140625,554.953125
6.167,1105.57421875,546.2421875
6.200,1102.23046875,537.7890625
6.233,1099.88671875,533.49609375
6.267,1099.40234375,532.74609375
6.300,1100.0859375,535.4140625
6.333,1100.5,543.73828125
6.367,1099.26171875,556.29296875
6.400,1096.421875,567.6640625
6.433,1094.98046875,576.25
6.467,1092.35546875,579.8125
6.500,1090.421875,581.02734375
6.533,1089.6640625,580.78515625
6.567,1088.9609375,579.28515625
6.600,1088.80859375,575.95703125
6.633,1088.63671875,571.3828125
6.667,1089.30078125,567.32421875
6.700,1090.4609375,565.390625
6.733,1092.578125,562.81640625
6.767,1095.29296875,553.62890625
6.800,1098.6484375,537.1171875
6.833,1100.21875,517.83984375
6.867,1101.4375,502.03125
6.900,1103.0078125,491.3203125
6.933,1104.3046875,485.99609375
6.967,1105.9140625,485.23828125
7.000,1107.22265625,488.64453125
7.033,1107.60546875,494.35546875
7.067,1107.0546875,499.85546875
7.100,1106.32421875,504.5859375
7.133,1105.82421875,508.4765625
7.167,1105.32421875,512.6875
7.200,1104.8671875,516.58203125
7.233,1103.75,520.546875
7.267,1101.45703125,523.8515625
7.300,1099.09375,527.7109375
7.333,1097.98046875,533.375
7.367,1097.48046875,540.68359375
7.400,1096.78125,546.05859375
7.433,1095.96484375,544.8828125
7.467,1093.30078125,536.19921875
7.500,1088.953125,525.484375
7.533,1086.36328125,520.08203125
7.567,1084.18359375,520.2578125
7.600,1084.33984375,527.37890625
7.633,1084.98828125,540.5390625
7.667,1084.78515625,556.140625
7.700,1082.24609375,571.37109375
7.733,1078.875,585.015625
7.767,1075.25390625,597.83203125
7.800,1071.09375,610.4765625
7.833,1066.39453125,623.91796875
7.867,1063.89453125,640.609375
7.900,1061.546875,657.25
7.933,1048.09375,676.828125
7.967,1044.4609375,693.3828125
8.000,1044.49609375,693.3828125
8.033,1042.8046875,710.94921875
8.067,1004.328125,735.94921875
8.100,995.91796875,751.75390625
8.133,987.41796875,759.09765625
8.167,986.9453125,759.06640625
8.200,981.53515625,760.1640625
8.233,973.96484375,759.41796875
8.267,971.45703125,760.63671875
8.300,966.1171875,764.421875
8.333,958.5703125,770.5390625
8.367,952.92578125,773.59375
8.400,952.92578125,773.59375
8.433,952.42578125,769.3828125
8.467,962.09765625,749.62890625
8.500,1014.93359375,709.9296875
8.533,1021.28515625,699.3671875
8.567,1027.06640625,689.65625
8.600,1032.3671875,680.93359375
8.633,1032.3671875,680.93359375
8.667,1041.02734375,665.79296875
8.700,1044.1875,660.44921875
8.733,1046.7265625,656.5078125
8.767,1049.18359375,653.4140625
8.800,1051.46484375,651.09375
8.833,1054.8515625,648.1484375
8.867,1059.20703125,643.33984375
8.900,1059.21875,643.35546875
8.933,1064.8828125,636.5390625
8.967,1071.5,627.7265625
9.000,1078.953125,615.85546875
9.033,1085.70703125,602.328125
9.067,1092.00390625,593.0625
9.100,1099.4296875,591.68359375
9.133,1106.73046875,595.828125
9.167,1112.92578125,601.52734375
9.200,1118.11328125,607.140625
9.233,1122.87109375,611.828125
9.267,1126.953125,615.59375
9.300,1130.46484375,618.25
9.333,1133.6328125,620.4453125
9.367,1136.23828125,622.65234375
9.400,1138.48046875,626.25390625
9.433,1139.63671875,631.08203125
9.467,1140.13671875,632.49609375
9.500,1142.5390625,626.30078125
9.533,1147.6015625,615.82421875
9.567,1152.91015625,609.59375
9.600,1155.46484375,608.8125
9.633,1155.83984375,610.6796875
9.667,1154.46484375,612.25
9.700,1152.2109375,612.70703125
9.733,1149.78515625,612.43359375
9.767,1146.67578125,611.78125
9.800,1143.33203125,610.58984375
9.833,1139.78515625,609.02734375
9.867,1136.1484375,606.83203125
9.900,1131.96484375,604.25
9.933,1128.1171875,601.02734375
9.967,1123.43359375,596.3125
10.000,1118.90234375,591.47265625
10.033,1114.5859375,587.80859375
10.067,1110.4375,585.75390625
10.100,1106.078125,584.82421875
10.133,1101.7265625,584.3046875
10.167,1097.1875,583.37890625
10.200,1093.06640625,582.8203125
10.233,1089.859375,584.90625
10.267,1087.9921875,589.43359375
10.300,1085.890625,595.05078125
10.333,1084.26953125,599.47265625
10.367,1082.80859375,601.93359375
10.400,1082.58203125,603.66796875
10.433,1082.15625,607.45703125
10.467,1081.609375,615.11328125
10.500,1080.01953125,626.3046875
10.533,1078.453125,636.95703125
10.567,1076.12109375,645.4375
10.600,1073.62890625,652.7734375
10.633,1070.94921875,658.7890625
10.667,1068.265625,665.44921875
10.700,1065.83203125,671.7734375
10.733,1062.82421875,677.51171875
10.767,1054.83984375,682.8125
10.800,1050.90625,688.84375
10.833,1046.9296875,694.8125
10.867,1042.6953125,702.33984375
10.900,1038.171875,711.59375
10.933,1032.1328125,722.625
10.967,1025.80859375,729.2265625
11.000,1019.921875,728.6484375
11.033,1015.03125,725.734375
11.067,1010.953125,723.29296875
11.100,1006.06640625,721.77734375
11.133,991.8203125,722.453125
11.167,985.90234375,716.38671875
11.200,985.90234375,716.38671875
11.233,985.88671875,704.48828125
11.267,987.9296875,691.30859375
11.300,992.8671875,678.3515625
11.333,997.9140625,666.11328125
11.367,1005.98828125,642.95703125
11.400,1011,630.37890625
11.433,1015.9296875,619.59375
11.467,1019.953125,609.6796875
11.500,1019.953125,609.6796875
11.533,1022.96875,594.265625
11.567,1025.98046875,587.2890625
11.600,1027.9609375,581.2734375
11.633,1027.9609375,581.2734375
11.667,1030.953125,575.44140625
11.700,1036.953125,565.49609375
11.733,1038.98828125,561.44140625
11.767,1040.8671875,557.546875
11.800,1040.9609375,554.33984375
11.833,1041.01171875,549.609375
11.867,1054.07421875,543.58203125
11.900,1054.8671875,536.36328125
11.933,1054.9453125,525.56640625
11.967,1055.0078125,512.5859375
12.000,1054.9140625,499.46875
12.033,1054.375,485.671875
12.067,1052.7109375,471.609375
12.100,1052.23828125,461.8046875
12.133,1051.06640625,454.953125
12.167,1050.6484375,452.36328125
12.200,1051.57421875,453.38671875
12.233,1051.57421875,453.38671875
12.267,1052.70703125,458.44921875
12.300,1056.578125,465.35546875
12.333,1059.66015625,476.4453125
12.367,1063.69140625,490.62890625
12.400,1066.01171875,509.23828125
12.433,1066.23828125,533.57421875
12.467,1073.140625,554.1953125
12.500,1073.2578125,577.9453125
12.533,1073.19140625,590.23046875
12.567,1072.125,612.20703125
12.600,1068.19140625,636.34375
12.633,1065.29296875,655.30859375
12.667,1061.19140625,674.01953125
12.700,1056.3203125,691.09375
12.733,1051.11328125,704.2265625
12.767,1046.33203125,717.0546875
12.800,1041.3203125,728.1484375
12.833,1037.07421875,736.75390625
12.867,1034.640625,744.40234375
12.900,1032.7578125,748.55859375
12.933,1031.45703125,751.3828125
12.967,1031.4921875,753.12109375
13.000,1032.09765625,753.91796875
13.033,1033.50390625,753.7890625
13.067,1035.5234375,753.28125
13.100,1038.1328125,752.7265625
13.133,1041.0390625,751.1484375
13.167,1044.0546875,748.8984375
13.200,1046.36328125,745.9140625
13.233,1048.30078125,741.03515625
13.267,1050.3203125,736.92578125
13.300,1053.19921875,733.28515625
13.333,1055.1875,731.2265625
13.367,1056.359375,730.08203125
13.400,1057.16015625,729.00390625
13.433,1056.25390625,727.04296875
13.467,1055.1484375,723.16796875
13.500,1054.25390625,718.2109375
13.533,1053.38671875,713.15234375
13.567,1051.2578125,707.953125
13.600,1049.21484375,700.98828125
13.633,1048.23046875,695.0859375
13.667,1045.23828125,691.05078125
13.700,1040.265625,686.11328125
13.733,1037.29296875,682.0859375
13.767,1034.2578125,679.01953125
13.800,1030.17578125,677.06640625
13.833,1024.31640625,676.0234375
13.867,1019.2734375,675.0546875
13.900,1013.3359375,674.08984375
13.933,1008.28125,673.17578125
13.967,1002.2578125,672.15625
14.000,997.203125,671.05859375
14.033,991.29296875,669.046875
14.067,986.23046875,666.96875
14.100,981.2578125,664
14.133,978.2578125,660.16015625
14.167,974.2578125,657.1640625
14.200,969.30859375,654.109375
14.233,967.21484375,650.0703125
14.267,964.2265625,646.11328125
14.300,961.2578125,643.00390625
14.333,959.2578125,640.03125
14.367,956.2578125,639.08203125
14.400,957.2578125,642.0078125
14.433,961.23046875,641.06640625
14.467,968.4296875,631.87109375
14.500,977.9296875,621.83984375
14.533,988.13671875,612.6796875
14.567,1005.77734375,594.34375
14.600,1012.58203125,584.44140625
14.633,1019.5625,582.56640625
14.667,1019.56640625,582.56640625
14.700,1027.0234375,594.53125
14.733,1032.01171875,612.53125
14.767,1032.97265625,637.06640625
14.800,1033.48828125,647.95703125
14.833,1034.55078125,655.72265625
14.867,1034.578125,655.69921875
14.900,1036.5625,677.37890625
14.933,1038.8671875,690.53515625
14.967,1045.50390625,696.453125
15.000,1057.79296875,684.9609375
15.033,1071.6015625,661.12890625
15.067,1082.61328125,638.625
15.100,1082.6171875,638.62109375
15.133,1094.9453125,639.78515625
15.167,1094.01953125,653.953125
15.200,1094.72265625,658.203125
15.233,1100.01953125,645.296875
15.267,1108.8125,621.06640625
15.300,1115.70703125,597.06640625
15.333,1117.6796875,584.59765625
15.367,1115.796875,586.83203125
15.400,1115.546875,592.58984375
15.433,1119.5703125,590.8203125
15.467,1126.7890625,582.87890625
15.500,1133.81640625,575.4609375
15.533,1133.8046875,575.4765625
15.567,1139.55859375,575.4375
15.600,1142.5703125,584.6015625
15.633,1143.88671875,598.9140625
15.667,1146.75390625,609.5234375
15.700,1152.5390625,607.73828125
15.733,1160.609375,593.81640625
15.767,1166.828125,581.48828125
15.800,1170.6875,583.25
15.833,1170.859375,600.3828125
15.867,1171.61328125,623.5390625
15.900,1171.82421875,643.41015625
15.933,1173.63671875,656.45703125
15.967,1174.62890625,667.29296875
16.000,1173.80859375,684.59765625
16.033,1170.6484375,705.74609375
16.067,1164.90234375,723.56640625
16.100,1157.6328125,737.66015625
16.133,1152.63671875,749.4921875
16.167,1146.6796875,756.76953125
16.200,1142.52734375,764.7109375
16.233,1134.61328125,772.625
16.267,1126.62109375,781.3984375
16.300,1115.6796875,791.625
16.333,1105.6484375,798.59765625
16.367,1097.72265625,801.64453125
16.400,1093.71875,800.72265625
16.433,1088.65234375,797.68359375
16.467,1084.734375,792.4609375
16.500,1080.234375,785.32421875
16.533,1074.74609375,778.05859375
16.567,1067.5390625,769.578125
16.600,1060.8203125,755.34765625
16.633,1055.6171875,711.34765625
16.667,1053.1875,664.34765625
16.700,1052.7890625,640.34765625
16.733,1054.3046875,616.34765625
16.767,1058.93359375,525.34765625
16.800,1045.49609375,501.34765625
16.833,1039.99609375,479.98046875
16.867,1062.60546875,443.53125
16.900,1067.10546875,424.15625
16.933,1066.69921875,404.65625
16.967,1073.3203125,381.65625
17.000,1075.703125,358.65625
17.033,1074.26953125,339.2265625
17.067,1067.99609375,323.7265625
17.100,1055.59375,318.15625
17.133,1044.27734375,314.890625
17.167,1034.70703125,314.390625
17.200,1025.40234375,315.81640625
17.233,1017.97265625,316.45703125
17.267,1012.44140625,317.08203125
17.300,1008.94140625,318.52734375
17.333,1005.5546875,319.08203125
17.367,1004.9296875,328.55859375
17.400,1006.40625,341.953125
17.433,1010.15625,359.4296875
17.467,1019.65625,365.0234375
17.500,1020.22265625,376.46875
17.533,1017.69921875,381.921875
17.567,1028.20703125,448.921875
17.600,1047.6875,473.921875
17.633,1051.18359375,530.48046875
17.667,1060.6953125,554.48046875
17.700,1070.109375,578.48046875
17.733,1068.76171875,602.48046875
17.767,1059.328125,726.98046875
17.800,1057.734375,751.98046875
17.833,1057.73828125,751.9765625
17.867,1056.984375,773.4765625
17.900,1055.62109375,789.9765625
17.933,1054.12890625,801.71484375
17.967,1053.34375,809.46875
18.000,1050.84375,816.62890625
18.033,1051.2109375,817.6953125
18.067,1051.96875,817.9609375
18.100,1051.96875,817.9609375
18.133,1054.6875,816.62890625
18.167,1056.17578125,815.1171875
18.200,1057.9921875,813.078125
18.233,1060.08984375,810.30078125
18.267,1060.09375,810.3046875
18.300,1062.390625,806.95703125
18.333,1066.890625,798.3359375
18.367,1069.13671875,792.97265625
18.400,1071.296875,787.71484375
18.433,1073.12109375,782.32421875
18.467,1075.51171875,776.7734375
18.500,1076.7734375,771.20703125
18.533,1078.0234375,766.01171875
18.567,1079.0078125,760.87109375
18.600,1079.39453125,755.8046875
18.633,1080.1640625,750.9609375
18.667,1079.48046875,746.66796875
18.700,1079.265625,742.62890625
18.733,1078.22265625,738.515625
18.767,1076.34375,734.65625
18.800,1073.40234375,730.89453125
18.833,1073.37890625,730.890625
18.867,1071.21484375,727.703125
18.900,1068.1796875,723.921875
18.933,1064.30078125,720.74609375
18.967,1061.2734375,717.765625
19.000,1057.35546875,714.7109375
19.033,1054.25390625,711.6171875
19.067,1049.2890625,707.875
19.100,1045.28125,704.72265625
19.133,1041.23046875,701.546875
19.167,1036.2734375,698.5703125
19.200,1031.2734375,695.6640625
19.233,1025.30859375,692.828125
19.267,1020.2890625,690.6953125
19.300,1015.30859375,688.6015625
19.333,1011.296875,685.81640625
19.367,1007.3125,683.80859375
19.400,1004.2734375,681.80859375
19.433,1000.26171875,680.73046875
19.467,996.2734375,679.75
19.500,993.26953125,678.78125
19.533,989.2734375,677.84375
19.567,985.28125,677.671875
19.600,982.2734375,676.83984375
19.633,977.2734375,676.65625
19.667,973.23828125,675.6875
19.700,968.2734375,674.6875
19.733,965.2734375,673.84765625
19.767,961.2734375,675.69921875
19.800,959.234375,678.7109375
19.833,962.234375,673.546875
19.867,971.2265625,660.921875
19.900,979.2734375,649.55078125
19.933,987.26953125,640.890625
19.967,991.3125,635.609375
20.000,995.2109375,633.5703125
20.033,996.2734375,635.8046875
20.067,995.2734375,644.58203125
20.100,989.29296875,660.70703125
20.133,978.27734375,684.609375
20.167,964.2421875,709.20703125
20.200,950.42578125,729.58203125
20.233,938.140625,749.06640625
20.267,927.265625,768.3359375
20.300,922.265625,782.53125
20.333,927.30078125,785.734375
20.367,936.3125,781.79296875
20.400,943.28125,781.01953125
20.433,943.18359375,791.0234375
20.467,934.375,809.65234375
20.500,926.296875,826.6953125
20.533,928.24609375,831.828125
20.567,943.203125,824.796875
20.600,958.2109375,814.70703125
20.633,968.16015625,811.453125
20.667,968.19921875,817.93359375
20.700,960.2578125,828.6640625
20.733,954.234375,831.55078125
20.767,961.2734375,819.9453125
20.800,974.3125,805.59765625
20.833,989.21875,792.4375
20.867,1003.38671875,780.484375
20.900,1018.265625,768.4375
20.933,1032.2734375,754.734375
20.967,1058.34375,731.20703125
21.000,1070.46875,721.54296875
21.033,1070.46484375,721.54296875
21.067,1080.2734375,718.55859375
21.100,1089.13671875,714.56640625
21.133,1105.2734375,695.75390625
21.167,1112.30859375,683.5234375
21.200,1112.37890625,683.5078125
21.233,1117.2734375,670.8359375
21.267,1125.19921875,657.84375
21.300,1130.21484375,643.6171875
21.333,1136.625,620.6171875
21.367,1141.84765625,598.09375
21.400,1144.875,588.0859375
21.433,1144.875,588.0859375
21.467,1146.859375,580.15234375
21.500,1149.65625,573.1796875
21.533,1151.62890625,564.1171875
21.567,1151.77734375,561.95703125
21.600,1151.79296875,561.16796875
21.633,1151.78125,562.015625
21.667,1151.859375,563.98046875
21.700,1152.6015625,566.96875
21.733,1152.796875,569.1015625
21.767,1153.72265625,571.0390625
21.800,1155.57421875,573.09375
21.833,1156.6796875,576.09765625
21.867,1157.75390625,579.16796875
21.900,1158.76953125,581.24609375
21.933,1159.58203125,582.00390625
21.967,1160.7734375,578.2265625
22.000,1161.85546875,575.109375
22.033,1161.74609375,577.8515625
22.067,1160.890625,587.3984375
22.100,1159.71484375,600.0859375
22.133,1159.71484375,600.0859375
22.167,1155.88671875,609.32421875
22.200,1152.8203125,615.1875
22.233,1149.66796875,619.30859375
22.267,1146.703125,622.3125
22.300,1144.63671875,625.34375
22.333,1141.6953125,631.26953125
22.367,1138.64453125,641.33984375
22.400,1132.67578125,651.015625
22.433,1128.71484375,657.9296875
22.467,1125.6875,661.9140625
22.500,1122.78125,664.05078125
22.533,1121.7109375,665.18359375
22.567,1119.79296875,665.37109375
22.600,1118.69140625,664.9453125
22.633,1117.15234375,663.8515625
22.667,1116.10546875,662.75390625
22.700,1114.4609375,661.96484375
22.733,1112.15625,661.26171875
22.767,1109.29296875,660.76171875
22.800,1106.42578125,659.9765625
22.833,1103.17578125,659.5
22.867,1100.01171875,658.984375
22.900,1096.09375,658.68359375
22.933,1092.22265625,658.15625
22.967,1088.31640625,658.12109375
23.000,1084.31640625,657.97265625
23.033,1079.4296875,657.9375
23.067,1075.32421875,658.0703125
23.100,1070.375,658.80078125
23.133,1066.20703125,660.87109375
23.167,1060.18359375,665.03515625
23.200,1053.28515625,671.71875
23.233,1046.359375,678.96484375
23.267,1040.3125,686.98828125
23.300,1035.2265625,694.8046875
23.333,1031.23046875,701.80859375
23.367,1027.421875,708.74609375
23.400,1024.6015625,714.51953125
23.433,1024.5625,717.0078125
23.467,1027.43359375,715.671875
23.500,1032.73046875,713.09375
23.533,1038.5234375,709.9296875
23.567,1044.41015625,706.42578125
23.600,1050.44140625,702.17578125
23.633,1055.875,697.05859375
23.667,1061.73046875,691.4609375
23.700,1066.73046875,685.57421875
23.733,1070.73046875,679.5625
23.767,1075.6640625,674.05859375
23.800,1079.8671875,667.37109375
23.833,1084.66015625,661.20703125
23.867,1095.73046875,656.26171875
23.900,1099.69921875,650.12109375
23.933,1103.73046875,644.03515625
23.967,1106.73046875,637.1015625
24.000,1109.89453125,629.67578125
24.033,1113.15234375,622.38671875
24.067,1116.0703125,615.359375
24.100,1118.40234375,607.89453125
24.133,1121.265625,600.734375
24.167,1124.07421875,594.29296875
24.200,1126.23828125,588.33984375
24.233,1128.09375,582.38671875
24.267,1128.40234375,576.46484375
24.300,1129.30859375,571.52734375
24.333,1135.2109375,568.6015625
24.367,1135.27734375,568.734375
24.400,1135.375,571.65625
24.433,1135.3984375,575.7421875
24.467,1135.29296875,581.421875
24.500,1134.33203125,586.40234375
24.533,1128.26953125,594.7734375
24.567,1128.1171875,598.734375
24.600,1128.1171875,598.734375
24.633,1127.08203125,602.69140625
24.667,1125.265625,606.41015625
24.700,1124.07421875,608.5703125
24.733,1125.13671875,604.8203125
24.767,1127.28125,598.90234375
24.800,1127.3046875,598.8984375
24.833,1130.80859375,595.34765625
24.867,1132.0234375,599.046875
24.900,1131.30859375,605.7734375
24.933,1129.140625,612.77734375
24.967,1127.04296875,618.73828125
25.000,1126.5859375,618.78515625
25.033,1123.48046875,624.0390625
25.067,1122.30859375,624.03515625
25.100,1121.25,622.2265625
