Time,X Position,Y Position
0.020,885.1328125,436.4375
0.040,881.6328125,435.109375
0.060,878.32421875,434.01953125
0.080,875.43359375,433.1953125
0.100,872.80859375,432.625
0.120,870.46484375,432.22265625
0.140,868.60546875,432.03125
0.160,867.14453125,432.0703125
0.180,866.2265625,432.4453125
0.200,865.578125,433.19921875
0.220,865.0234375,434.265625
0.240,864.6171875,435.2265625
0.260,864.890625,436.0234375
0.280,865.84375,436.625
0.300,867.52734375,437.35546875
0.320,870.1328125,438.1875
0.340,873.24609375,438.8984375
0.360,876.7265625,439.875
0.380,880.60546875,441.26953125
0.400,884.31640625,442.30859375
0.420,887.65234375,443.23046875
0.440,891.04296875,443.609375
0.460,894.25,444.3828125
0.480,897.390625,444.67578125
0.500,900.390625,445.43359375
0.520,903.41796875,445.69921875
0.540,906.12890625,446.15234375
0.560,908.86328125,446.54296875
0.580,911.14453125,446.92578125
0.600,913.27734375,447.2265625
0.620,915.1875,447.515625
0.640,916.90234375,447.9765625
0.660,918.06640625,448.43359375
0.680,919.0703125,449.19921875
0.700,919.8125,450.06640625
0.720,919.8671875,451.00390625
0.740,919.73046875,452
0.760,919.0546875,452.92578125
0.780,918.15234375,453.5078125
0.800,917.0546875,453.9453125
0.820,915.03515625,453.23828125
0.840,912.2265625,452.01171875
0.860,908.91796875,450.17578125
0.880,905.00390625,448.19921875
0.900,900.73046875,446.19921875
0.920,896.265625,444.27734375
0.940,891.78515625,442.3515625
0.960,887.26953125,440.42578125
0.980,883.23828125,438.9296875
1.000,879.67578125,437.16796875
1.020,876.67578125,435.9140625
1.040,873.91796875,434.36328125
1.060,871.91796875,433.34375
1.080,870.1484375,432.41796875
1.100,869.07421875,432.140625
1.120,868.66796875,432.078125
1.140,867.9921875,432.06640625
1.160,867.98046875,432.19921875
1.180,868.109375,432.4921875
1.200,868.73046875,433.4375
1.220,869.0390625,434.421875
1.240,870.69140625,435.36328125
1.260,872.14453125,436.13671875
1.280,875.10546875,436.921875
1.300,879.046875,437.38671875
1.320,883.7578125,438.28515625
1.340,888.9453125,439.203125
1.360,894.2890625,440.16015625
1.380,899.91796875,441.15234375
1.400,905.5625,442.09765625
1.420,911.23046875,442.98828125
1.440,917.68359375,443.36328125
1.460,923.9453125,444.546875
1.480,930.375,446.02734375
1.500,937.28125,447.921875
1.520,943.6484375,449.6875
1.540,950.4609375,451.51171875
1.560,957.0390625,453.13671875
1.580,962.921875,454.30859375
1.600,967.90625,455.33984375
1.620,971.76953125,456.43359375
1.640,975.05078125,457.64453125
1.660,977.11328125,458.94921875
1.680,978.19140625,460.78125
1.700,978.14453125,462.6796875
1.720,977.265625,463.80078125
1.740,976.13671875,463.9453125
1.760,973.671875,464.80078125
1.780,970.52734375,464.83984375
1.800,966.4453125,463.87890625
1.820,961.5,462.9296875
1.840,955.71484375,461.8828125
1.860,949.5234375,460.7734375
1.880,942.98828125,458.99609375
1.900,935.2421875,456.62109375
1.920,927.75,454.1953125
1.940,918.9765625,451.3203125
1.960,910.6640625,448.5234375
1.980,902.25390625,445.79296875
2.000,894.27734375,443.421875
2.020,886.484375,441.1171875
2.040,879.984375,439.3984375
2.060,874.3046875,437.78125
2.080,870.078125,436.69140625
2.100,866.90234375,435.6484375
2.120,864.7578125,434.64453125
2.140,863.05078125,434.61328125
2.160,862.984375,433.66796875
2.180,863.76953125,434.015625
2.200,865.64453125,434.12109375
2.220,868.671875,434.1640625
2.240,873.41015625,434.37890625
2.260,879.265625,435.19140625
2.280,885.484375,436.10546875
2.300,892.296875,437.1328125
2.320,899.16015625,438.234375
2.340,905.8125,439.58203125
2.360,912.79296875,441.15234375
2.380,920.5,443.43359375
2.400,928,446.13671875
2.420,936.046875,449.2109375
2.440,943.55078125,452.1328125
2.460,951.81640625,454.9296875
2.480,959.86328125,457.4140625
2.500,967.44921875,458.89453125
2.520,973.8203125,460.1640625
2.540,979.0078125,461.2109375
2.560,982.984375,462.3984375
2.580,985.71875,464.19921875
2.600,986.68359375,466.15234375
2.620,985.91015625,467.296875
2.640,984.76953125,467.34375
2.660,982.73828125,466.40234375
2.680,978.99609375,467.46875
2.700,974.72265625,466.46875
2.720,969.6796875,465.4140625
2.740,964.06640625,464.34375
2.760,958.0546875,462.49609375
2.780,951.98828125,461.3203125
2.800,946.18359375,459.51953125
2.820,939.6171875,457.21484375
2.840,933.3828125,455.05078125
2.860,927.62109375,452.93359375
2.880,920.9765625,450.7578125
2.900,915.55078125,449.06640625
2.920,909.7421875,447.32421875
2.940,904.68359375,446.109375
2.960,900.59375,444.8515625
2.980,897.21484375,443.859375
3.000,894.5078125,442.89453125
3.020,893.16015625,442.32421875
3.040,892.25390625,441.45703125
3.060,892.171875,441.359375
3.080,893.10546875,441.52734375
3.100,895.2109375,441.69140625
3.120,898.27734375,442.52734375
3.140,902.43359375,443.578125
3.160,907.29296875,444.8046875
3.180,913.21875,446.640625
3.200,919.3046875,447.78125
3.220,925.0546875,449.1328125
3.240,931.8046875,450.7109375
3.260,938.12890625,452.34375
3.280,944.59375,454.0703125
3.300,951.09375,455.7890625
3.320,957.95703125,457.41015625
3.340,964.73046875,458.73046875
3.360,970.984375,459.73828125
3.380,976.91796875,460.5703125
3.400,982.109375,461.2734375
3.420,986.86328125,461.55078125
3.440,990.8359375,461.8203125
3.460,993.97265625,462.68359375
3.480,996.125,463.89453125
3.500,997.25,465.51953125
3.520,997.1640625,467.453125
3.540,995.7890625,469.1171875
3.560,994.3046875,469.31640625
3.580,992.375,468.9609375
3.600,989.33984375,467.984375
3.620,985.51171875,466.9375
3.640,981.1171875,465.33984375
3.660,976.296875,464.1328125
3.680,971.2109375,462.92578125
3.700,965.72265625,461.21875
3.720,960.234375,460.05078125
3.740,954.47265625,458.92578125
3.760,948.609375,457.1328125
3.780,942.78515625,455.25390625
3.800,937.234375,453.37890625
3.820,931.875,451.7578125
3.840,926.6171875,450.55078125
3.860,920.953125,449.10546875
3.880,916.6328125,448.3515625
3.900,912.58984375,447.73828125
3.920,909.24609375,447.4609375
3.940,906.3203125,446.80859375
3.960,904.453125,446.48828125
3.980,903.46875,445.87890625
4.000,903.3515625,446.48828125
4.020,903.70703125,447.47265625
4.040,905.61328125,448.4921875
4.060,908.53125,449.41796875
4.080,912.39453125,449.81640625
4.100,916.63671875,450.76171875
4.120,920.453125,451.45703125
4.140,925.4921875,451.63671875
4.160,930.5859375,451.73046875
4.180,935.328125,451.99609375
4.200,940.80078125,452.4921875
4.220,946.03515625,453.15625
4.240,951.37890625,453.6328125
4.260,956.23828125,454.0234375
4.280,960.9765625,454.26953125
4.300,965.2421875,454.7421875
4.320,969.18359375,455.2578125
4.340,972.82421875,456.35546875
4.360,975.79296875,457.9765625
4.380,977.87890625,459.76171875
4.400,978.78125,460.9453125
4.420,978.6875,461.2109375
4.440,977.84375,461.1328125
4.460,975.90625,460.93359375
4.480,972.54296875,460.15625
4.500,967.671875,459.16015625
4.520,961.84375,458.078125
4.540,955.078125,457.046875
4.560,947.98828125,456.109375
4.580,939.96484375,456.05859375
4.600,932.3125,456.19140625
4.620,923.39453125,456.703125
4.640,915.7109375,458.203125
4.660,906.62109375,460.25390625
4.680,899.1328125,462.984375
4.700,892.2890625,466.12109375
4.720,886.921875,469.89453125
4.740,882.23046875,474.53515625
4.760,879.49609375,478.89453125
4.780,877.6640625,483.28515625
4.800,876.796875,487.75390625
4.820,876.83203125,491.9140625
4.840,877.58984375,496.1484375
4.860,877.90234375,501.22265625
4.880,879.21484375,505.79296875
4.900,881.265625,509.62890625
4.920,883.5234375,511.890625
4.940,886.23828125,513.65234375
4.960,888.64453125,513.6953125
4.980,892.2578125,512.71875
5.000,896.2109375,510.82421875
5.020,900.41015625,508.74609375
5.040,904.66796875,506
5.060,908.859375,502.58984375
5.080,913.15234375,499.0625
5.100,918.01953125,495.16015625
5.120,922.734375,490.90625
5.140,927.76171875,486.4609375
5.160,932.73828125,481.81640625
5.180,937.3671875,477.69921875
5.200,942.06640625,474.375
5.220,946.23828125,472.1640625
5.240,950.15625,470.36328125
5.260,953.3515625,469.5546875
5.280,955.75390625,468.82421875
5.300,956.9765625,467.75390625
5.320,957.62109375,465.9453125
5.340,957.53125,464.66015625
5.360,955.66796875,462.98828125
5.380,952.44140625,461.984375
5.400,947.78125,461
5.420,942.78125,460.0234375
5.440,936.69921875,459.05078125
5.460,930.1171875,458.37890625
5.480,922.12109375,458.33203125
5.500,914.55078125,459.00390625
5.520,905.34375,460.6484375
5.540,897.61328125,463.03515625
5.560,889.828125,466.48828125
5.580,884.3515625,471.6015625
5.600,880.8515625,477.8203125
5.620,877.7890625,484.796875
5.640,876.11328125,491.53515625
5.660,875.2265625,498.08203125
5.680,875.62890625,504.4375
5.700,876.77734375,510.58203125
5.720,878.69140625,515.75390625
5.740,881.04296875,520.6171875
5.760,883.9296875,524.3828125
5.780,886.3671875,527.33203125
5.800,889.22265625,529.3671875
5.820,891.48828125,530.64453125
