Time,X Position,Y Position
0.033,1051.01953125,559.1796875
0.067,1051.94140625,562.4296875
0.100,1052.53515625,566.171875
0.133,1053.07421875,569.2578125
0.167,1053.82421875,571.0703125
0.200,1054.91015625,570.6015625
0.233,1057.015625,566.671875
0.267,1060.578125,557.51953125
0.300,1064.87109375,543.5625
0.333,1069.2265625,527.34375
0.367,1072.82421875,513.73828125
0.400,1074.8671875,504.8046875
0.433,1076.09375,500.859375
0.467,1076.9375,500.8671875
0.500,1076.8828125,503.671875
0.533,1075.9453125,507.69921875
0.567,1075.03515625,513.51171875
0.600,1075.171875,519.51171875
0.633,1076.95703125,524.62109375
0.667,1079.125,527.58984375
0.700,1082.83984375,526.65625
0.733,1086.09765625,522.48828125
0.767,1089.8359375,517.79296875
0.800,1092.84765625,517.359375
0.833,1093.89453125,522.921875
0.867,1092.03515625,533.73828125
0.900,1086.89453125,545.70703125
0.933,1080.00390625,557.734375
0.967,1072.90234375,567.89453125
1.000,1064.96484375,575.56640625
1.033,1057.03125,577.828125
1.067,1049.171875,577.015625
1.100,1042.48046875,574.328125
1.133,1037.5,569.96484375
1.167,1033.77734375,565.4375
1.200,1031.484375,561.234375
1.233,1033.36328125,555.1953125
1.267,1038.34375,543.59375
1.300,1044.7578125,526.20703125
1.333,1050.38671875,506.57421875
1.367,1053.4453125,490.1484375
1.400,1056.53125,478.21875
1.433,1064.46875,473.6015625
1.467,1065.4609375,476.6953125
1.500,1065.50390625,476.72265625
1.533,1064.59765625,480.19140625
1.567,1064.4375,483.39453125
1.600,1062.578125,484.1953125
1.633,1063.50390625,481.3515625
1.667,1063.265625,479.92578125
1.700,1063.265625,479.92578125
1.733,1058.0546875,493.078125
1.767,1054.7734375,506.90625
1.800,1051.84375,523.5234375
1.833,1051.88671875,541.203125
1.867,1056.28125,556.79296875
1.900,1056.28125,556.79296875
1.933,1063.109375,564.68359375
1.967,1078.09375,562.71875
2.000,1071.97265625,557.8515625
2.033,1085.01171875,557.11328125
2.067,1085.6171875,560.00390625
2.100,1085.609375,560.19921875
2.133,1079.69921875,570.921875
2.167,1075.35546875,574.6328125
2.200,1070.25,575.75
2.233,1064.71875,575.3046875
2.267,1059.58203125,572.61328125
2.300,1054.51171875,569.4453125
2.333,1049.5,565.76171875
2.367,1042.9765625,562.515625
2.400,1036.125,560.57421875
2.433,1036.125,560.57421875
2.467,1030.09375,560.46484375
2.500,1025.0703125,563.16796875
2.533,1017.8828125,566.63671875
2.567,1010.42578125,574.671875
2.600,1007.890625,588.89453125
2.633,1014.36328125,607.4453125
2.667,1020.51953125,623.48828125
2.700,1023.65625,636.58984375
2.733,1023.7421875,647.5546875
2.767,1020.6875,658.61328125
2.800,1014.3828125,667.66796875
2.833,1008.62890625,675.66796875
2.867,1014.7578125,682.6484375
2.900,1025.6328125,684.6484375
2.933,1033.54296875,682.09765625
2.967,1038.20703125,677.80078125
3.000,1041.234375,673.48828125
3.033,1043.1328125,670.95703125
3.067,1044.09375,669.05859375
3.100,1044.17578125,666.80859375
3.133,1043.96875,664.171875
3.167,1042.09375,661.9609375
3.200,1039.14453125,660.2890625
3.233,1035.98828125,659.8359375
3.267,1031.3125,659.28125
3.300,1027.03125,659.26953125
3.333,1022.05859375,659.05078125
3.367,1017.96484375,657.83984375
3.400,1013.98828125,654.86328125
3.433,1010.2421875,651.30078125
3.467,1008.07421875,647.04296875
3.500,1007.14453125,640
3.533,1007.2578125,630.31640625
3.567,1006.1328125,624.1953125
3.600,1001.14453125,625.37890625
3.633,994.13671875,630.44921875
3.667,987.1015625,635.95703125
3.700,981.046875,639.96484375
3.733,977.1328125,642.4375
3.767,973.98046875,644.8671875
3.800,971.3671875,646.5
3.833,969.2578125,648.97265625
3.867,967.9296875,650.49609375
3.900,966.49609375,651.2890625
3.933,965.3125,651.86328125
3.967,963.859375,651.359375
4.000,961.1015625,650.89453125
4.033,956.96875,648.26171875
4.067,950.203125,644.90625
4.100,942.2578125,641.1484375
4.133,934.57421875,640.85546875
4.167,926.55859375,643.92578125
4.200,918.7578125,651.55859375
4.233,910.6484375,662.40625
4.267,901.84765625,673.7890625
4.300,896.7578125,685.6015625
4.333,896.296875,692.21875
4.367,899.09765625,693.78515625
4.400,901.3125,689.1015625
4.433,903.9921875,678.22265625
4.467,906.3828125,661.28125
4.500,909.61328125,639.9296875
4.533,914.05078125,616.6015625
4.567,918.6484375,593.6015625
4.600,938.0703125,570.6015625
4.633,943.18359375,547.73828125
4.667,938.09375,524.6015625
4.700,950.17578125,501.6015625
4.733,962.078125,489.0703125
4.767,983.1953125,501.05859375
4.800,990.83984375,520.78515625
4.833,990.83984375,520.78515625
4.867,998.21484375,543.1953125
4.900,1011.65234375,567.1953125
4.933,1015.4765625,581.97265625
4.967,1016.68359375,597.2421875
5.000,1016.69140625,597.234375
5.033,1016.22265625,608.69921875
5.067,1013.125,612.28125
5.100,1011.390625,607.40234375
5.133,1008.5546875,601.5390625
5.167,1005.0390625,595.75
5.200,1005.0390625,595.75
5.233,994.7265625,585.08203125
5.267,988.48828125,581.2109375
5.300,981.9609375,577.84765625
5.333,976.390625,575.41796875
5.367,976.390625,575.41796875
5.400,971.578125,577.08203125
5.433,973.4921875,582.78125
5.467,976.80078125,589.35546875
5.500,980.3125,595.0390625
5.533,982.89453125,599.1171875
5.567,984.42578125,601.48046875
5.600,985.203125,603.07421875
5.633,985.4375,605.11328125
5.667,985.7109375,606.75
5.700,986.48828125,607.265625
5.733,986.72265625,607.28125
5.767,989.046875,605.87109375
5.800,992.74609375,602.734375
5.833,996.33984375,598.45703125
5.867,999.01953125,594.75390625
5.900,1001.37109375,591.4921875
5.933,1003.9375,588.69140625
5.967,1006.4765625,585.71875
6.000,1009.05859375,583.09765625
6.033,1011.4609375,580.6953125
6.067,1013.8359375,578.1953125
6.100,1015.390625,576.171875
6.133,1016.53515625,575.078125
6.167,1017.3359375,574.78125
6.200,1018.09765625,574.59765625
6.233,1019.234375,573.7734375
6.267,1023.53515625,569.56640625
6.300,1032.171875,558.58203125
6.333,1041.40625,541.74609375
6.367,1049.3984375,523.7421875
6.400,1055.3984375,510.4765625
6.433,1060.25,504.8828125
6.467,1062.22265625,506.82421875
6.500,1061.05859375,512.70703125
6.533,1056.44140625,518.8828125
6.567,1051.1484375,526.83984375
6.600,1045.94921875,536.96875
6.633,1041.22265625,547.62890625
6.667,1037.40234375,554.9375
6.700,1034.42578125,560.03515625
6.733,1032.29296875,563.99609375
6.767,1030.44921875,567.82421875
6.800,1028.87890625,570.9921875
6.833,1027.2734375,574.72265625
6.867,1026.1640625,579.58203125
6.900,1027.02734375,583.80859375
6.933,1031.1484375,582.65234375
6.967,1038.18359375,569.6328125
7.000,1045.15234375,546.72265625
7.033,1049.05078125,523.28125
7.067,1052.09375,502.73828125
7.100,1054.3125,495.6484375
7.133,1052.1171875,501.48046875
7.167,1044.22265625,514.515625
7.200,1032.27734375,529.6796875
7.233,1021.33984375,545.53125
7.267,1012.12890625,556.94140625
7.300,1003.328125,563.02734375
7.333,995.03515625,565.6171875
7.367,986.3828125,567.11328125
7.400,977.58203125,568.58203125
7.433,968.4609375,568.9609375
7.467,961.1171875,569.94140625
7.500,954.75,574.2890625
7.533,952.578125,581.63671875
7.567,956.66796875,589.09765625
7.600,966.37890625,590.71484375
7.633,975.8046875,586.2890625
7.667,984.4609375,579.62109375
7.700,992.4921875,576.32421875
7.733,998.4765625,576.52734375
7.767,999.68359375,579.60546875
7.800,998.515625,583.68359375
7.833,995.6171875,586.6328125
7.867,988.6171875,586.29296875
7.900,984.609375,585.21484375
7.933,980.51953125,582.421875
7.967,975.79296875,579.2578125
8.000,969.8828125,575.73046875
8.033,963.28125,573.15234375
8.067,949.41796875,571.6171875
8.100,943.46484375,573.50390625
8.133,943.46484375,573.50390625
8.167,935.6171875,578.48828125
8.200,926.8203125,602.48828125
8.233,929.1015625,620.0546875
8.267,932.99609375,633.20703125
8.300,932.99609375,633.20703125
8.333,935.06640625,643.8828125
8.367,931.08203125,662.98828125
8.400,923.09765625,672.875
8.433,910.16796875,680.96875
8.467,898.2890625,689.09765625
8.500,901.2265625,693.8984375
8.533,901.2265625,693.8984375
8.567,913.796875,693.62109375
8.600,937.03125,685.23828125
8.633,946.15625,679.12890625
8.667,953.3515625,673.3515625
8.700,960.3515625,668.87890625
8.733,966.35546875,664.37890625
8.767,966.35546875,664.37109375
8.800,975.2734375,656.30859375
8.833,978.19140625,652.8671875
8.867,979.296875,649.96875
8.900,980.31640625,647.84375
8.933,981.22265625,646.12890625
8.967,981.3046875,644.88671875
9.000,983.234375,643.19140625
9.033,983.234375,643.18359375
9.067,985.296875,641.93359375
9.100,987.9609375,639.234375
9.133,990.94140625,635.375
9.167,994.22265625,630.5
9.200,996.7109375,626.21484375
9.233,996.890625,625.38671875
9.267,995.4453125,628.2578125
9.300,992.55078125,632.0546875
9.333,989.9296875,634.78515625
9.367,987.65234375,637.76171875
9.400,985.8984375,640.24609375
9.433,983.8671875,642.578125
9.467,982.375,644.2578125
9.500,981.2578125,645.46875
9.533,980.1484375,646.171875
9.567,978.75390625,646.28125
9.600,976.1484375,645.734375
9.633,971.8671875,644.26171875
9.667,965.78125,641.41015625
9.700,957.796875,637.484375
9.733,947.796875,632.41015625
9.767,936.77734375,627.2890625
9.800,925.44921875,622.7890625
9.833,913.44921875,619.796875
9.867,900.1796875,619.078125
9.900,887.12109375,621.59765625
9.933,871.3203125,626.7890625
9.967,861.19140625,636.703125
10.000,857.6640625,641.36328125
10.033,853.34765625,644.62109375
10.067,846.1640625,647.55859375
10.100,838.5390625,649.82421875
10.133,832.421875,649.85546875
10.167,827.82421875,648.8125
10.200,824.34765625,648.0390625
10.233,822.90234375,647.875
10.267,822.46484375,647.859375
10.300,824.8828125,646.64453125
10.333,830.1640625,643.91796875
10.367,837.44921875,640.640625
10.400,845.31640625,635.6171875
10.433,852.30078125,630.08203125
10.467,857.2421875,625.96484375
10.500,861.73828125,622.2421875
10.533,867.0078125,617.54296875
10.567,872.98828125,612.578125
10.600,878.64453125,608.80078125
10.633,884.65234375,607.54296875
10.667,892.83203125,605.71875
10.700,904.53515625,598.4609375
10.733,916.40625,586.28515625
10.767,925.515625,573.8828125
10.800,934.1015625,565.16796875
10.833,941.30078125,562.453125
10.867,943.3046875,565.48046875
10.900,938.3671875,570.05078125
10.933,929.484375,575.234375
10.967,920.3125,578.33203125
11.000,914.12890625,577.41015625
11.033,910.20703125,575.046875
11.067,908.3125,572.2421875
11.100,908.23828125,570.09375
11.133,910.31640625,568.2421875
11.167,914.4140625,567.21875
11.200,919.6796875,565.96875
11.233,925.03125,563.9609375
11.267,940.1796875,557.07421875
11.300,952.07421875,552.82421875
11.333,952.07421875,552.82421875
11.367,964.859375,549.984375
11.400,977,548.58203125
11.433,989.9140625,547.8125
11.467,996.8671875,546.8984375
11.500,1022.31640625,549.2734375
11.533,1035.2265625,551.640625
11.567,1048.21875,555.6484375
11.600,1059.546875,559.83203125
11.633,1059.55078125,559.83203125
11.667,1082.6015625,574.0703125
11.700,1094.7578125,581.37109375
11.733,1105.82421875,589.01171875
11.767,1105.82421875,589.01171875
11.800,1116.796875,594.98046875
11.833,1140.71875,602.30078125
11.867,1151.71875,602.23828125
11.900,1161.8359375,599.96875
11.933,1170.80859375,597.16015625
11.967,1176.75390625,595.2265625
12.000,1184.61328125,596.78515625
12.033,1191.328125,599.7734375
12.067,1197.10546875,603.71484375
12.100,1200.40625,608.6328125
12.133,1202.44921875,613.75
12.167,1204.1953125,616.828125
12.200,1205.1875,619.4921875
12.233,1208.2109375,621.61328125
12.267,1210.3046875,623.8046875
12.300,1211.5078125,626.46875
12.333,1212.56640625,629.3671875
12.367,1212.5546875,629.3828125
12.400,1213.03125,632.1875
12.433,1213.7265625,635.3828125
12.467,1213.76953125,638.59375
12.500,1213.13671875,641.77734375
12.533,1212.3046875,645.93359375
12.567,1211.00390625,649.84765625
12.600,1209.48046875,653.2421875
12.633,1207.96875,655.4921875
12.667,1207.56640625,656.3125
12.700,1206.48828125,656.75390625
12.733,1206.19140625,655.9140625
12.767,1206.6328125,653.6015625
12.800,1207.20703125,650.8125
12.833,1207.78515625,648.0234375
12.867,1208.09765625,645.72265625
12.900,1207.90234375,644.640625
12.933,1207.515625,643.375
12.967,1207.23046875,642.3125
13.000,1206.76171875,641.1640625
13.033,1206.49609375,639.9375
13.067,1206.06640625,639.75390625
13.100,1204.7421875,641.703125
13.133,1202.00390625,645.33203125
13.167,1199.51953125,649.24609375
13.200,1197.984375,650.91015625
13.233,1198.5625,649.3203125
13.267,1200.46875,645.9609375
13.300,1201.98828125,641.7578125
13.333,1203.72265625,637.48828125
13.367,1204.9453125,633.94921875
13.400,1205.3125,632.58203125
13.433,1204.71484375,632.25390625
13.467,1202.43359375,632.9921875
13.500,1199.07421875,633.76171875
13.533,1195.2265625,634.3671875
13.567,1191.0625,635.53515625
13.600,1186.6640625,638.1875
13.633,1182.27734375,642.984375
13.667,1177.81640625,649.72265625
13.700,1174.171875,657.22265625
13.733,1171.671875,663.59375
13.767,1169.78515625,668.1328125
13.800,1168.13671875,670.6328125
13.833,1166.54296875,672.06640625
13.867,1164.8828125,672.96875
13.900,1163.18359375,673.7578125
13.933,1161.3359375,674.390625
13.967,1158.875,675.8203125
14.000,1155.671875,677.54296875
14.033,1151.515625,679.6796875
14.067,1146.57421875,679.80859375
14.100,1142.30078125,672.97265625
14.133,1139.40234375,659.5703125
14.167,1136.98046875,646.75390625
14.200,1134.1015625,638.31640625
14.233,1130.234375,633.3828125
14.267,1126.37109375,629.2265625
14.300,1122.4921875,624.83984375
14.333,1118.328125,620.3359375
14.367,1114.171875,615.6953125
14.400,1109.2265625,611.3671875
14.433,1103.60546875,607.484375
14.467,1097.34375,603.58984375
14.500,1090.51171875,599.21875
14.533,1083.9765625,594.23046875
14.567,1078.7421875,587.5703125
14.600,1076.37890625,575.49609375
14.633,1076.62890625,554.73828125
14.667,1073.5625,531.3671875
14.700,1053.05078125,507.3671875
14.733,1042.265625,483.89453125
14.767,1029.01171875,489.73828125
14.800,1029.01953125,489.7421875
14.833,1009.1328125,493.98046875
14.867,982.15234375,495.96875
14.900,949.5625,511.87890625
14.933,926.171875,515.99609375
14.967,914.0625,522.890625
15.000,914.0625,522.88671875
15.033,897.953125,536.71875
15.067,891.19140625,541.81640625
15.100,887.0078125,546.7109375
15.133,883.1953125,551.93359375
15.167,882.08984375,557.890625
15.200,882.0546875,564.90234375
15.233,882.04296875,564.89453125
15.267,885.0625,579.796875
15.300,883.046875,587.953125
15.333,886.06640625,595.77734375
15.367,890.08984375,601.984375
15.400,894.08984375,609.82421875
15.433,897.0859375,616.98828125
15.467,900.015625,624.80078125
15.500,901.1171875,630.86328125
15.533,903.0078125,632.8671875
15.567,904.28515625,630.19921875
15.600,904.79296875,623.265625
15.633,904.65234375,614.05859375
15.667,904.66796875,614.06640625
15.700,903.40625,604.53125
15.733,901.3359375,597.546875
15.767,898.484375,593.49609375
15.800,895.3359375,592.23828125
15.833,890.57421875,592.3203125
15.867,885.42578125,594.9765625
15.900,879.82421875,600.64453125
15.933,874.1875,609
15.967,869.03515625,619.8203125
16.000,863.96484375,633.0546875
16.033,859.9375,649.8671875
16.067,855.984375,672.8203125
16.100,859.140625,693.8203125
16.133,860.0078125,718.2109375
16.167,863.02734375,740.97265625
16.200,861.98828125,757.6640625
16.233,869.78125,761.34765625
16.267,874.2578125,761.1640625
16.300,877.48828125,757.953125
16.333,881.48828125,751.30859375
16.367,885.31640625,742.43359375
16.400,888.43359375,731.51171875
16.433,892.28125,720.0234375
16.467,895.453125,706.1640625
16.500,898.48828125,690.94921875
16.533,901.56640625,673.453125
16.567,904.40625,655.2421875
16.600,906.52734375,636.11328125
16.633,908.63671875,617.41015625
16.667,910.65234375,601.31640625
16.700,913.48828125,588.11328125
16.733,916.35546875,577.25
16.767,918.484375,568.86328125
16.800,922.40625,561.375
16.833,916.5546875,555.33984375
16.867,921.171875,550.140625
16.900,926.7265625,546.890625
16.933,932.25390625,545.04296875
16.967,939.1328125,544.046875
17.000,946.9453125,543.953125
17.033,954.91796875,543.90625
17.067,962.0546875,545.05078125
17.100,970.13671875,547.9609375
17.133,977.93359375,551.7109375
17.167,984.0546875,556.85546875
17.200,990.1015625,562.83984375
17.233,996.9609375,571.0625
17.267,1003.12109375,579.83984375
17.300,1009.375,588.1328125
17.333,1015.26953125,595.7265625
17.367,1019.83203125,602.33984375
17.400,1023.7265625,608.60546875
17.433,1026.53515625,616.56640625
17.467,1028.56640625,624.4921875
17.500,1029.69921875,632.33984375
17.533,1029.6484375,642.15234375
17.567,1029.58984375,649.5859375
17.600,1028.6640625,657.51171875
17.633,1028.50390625,665.3203125
17.667,1026.55078125,671.1484375
17.700,1023.6796875,677.19921875
17.733,1021.60546875,684.33984375
17.767,1018.609375,690.24609375
17.800,1015.94140625,694.109375
17.833,1012.83203125,697.9921875
17.867,1010.19921875,701.83984375
17.900,1006.3203125,707.9375
17.933,1005.13671875,710.6171875
17.967,1005.0625,710.75390625
18.000,1004.08203125,712.7578125
18.033,1003.125,713.96484375
18.067,1002.31640625,715.546875
18.100,1002.30859375,715.8125
18.133,1005.875,715.55078125
18.167,1008.9921875,714.828125
18.200,1012.20703125,713.8828125
18.233,1012.20703125,713.8828125
18.267,1019.44921875,712.62890625
18.300,1023.3359375,711.83984375
18.333,1026.953125,711.66015625
18.367,1030.94921875,711.640625
18.400,1030.94921875,711.640625
18.433,1034.06640625,710.94140625
18.467,1039.109375,711.65625
18.500,1039.109375,712.7109375
18.533,1039.15625,713.7734375
18.567,1041.28515625,713.74609375
18.600,1047.125,711.87109375
18.633,1052.375,710.1640625
18.667,1058.7578125,694.3203125
18.700,1063.86328125,690.20703125
18.733,1068.4765625,687.5078125
18.767,1071.625,684.42578125
18.800,1073.56640625,675.2890625
18.833,1072.78125,673.33984375
18.867,1069.73046875,670.5234375
18.900,1065.92578125,668.109375
18.933,1061.859375,666.32421875
18.967,1061.859375,666.32421875
19.000,1058.43359375,665.390625
19.033,1055.73046875,665.55859375
19.067,1054.91796875,666.7109375
19.100,1054.6875,668.45703125
19.133,1054.875,668.625
19.167,1055.359375,668.16015625
19.200,1055.51953125,667.2734375
19.233,1055.36328125,667.05078125
19.267,1053.82421875,666.41015625
19.300,1052.75390625,665.609375
19.333,1051.5078125,665.265625
19.367,1049.5859375,664.39453125
19.400,1048.4609375,649.24609375
19.433,1045.80859375,645.3515625
19.467,1042.71484375,642.32421875
19.500,1041.57421875,623.53125
19.533,1038.6015625,619.5546875
19.567,1036.625,606.31640625
19.600,1034.6953125,601.296875
19.633,1031.69921875,598.54296875
19.667,1028.55078125,597.17578125
19.700,1023.73046875,594.3359375
19.733,1019.578125,589.37109375
19.767,1015.66796875,581.46875
19.800,1011.62109375,577.30859375
19.833,1006.6640625,573.265625
19.867,1000.7109375,564.37109375
19.900,996.68359375,556.37109375
19.933,991.421875,548.87109375
19.967,986.51953125,540.62109375
20.000,982.3671875,531.85546875
20.033,979.390625,520.12109375
20.067,977.08203125,504.09765625
20.100,974.39453125,488.87109375
20.133,971.34765625,478.87109375
20.167,967.82421875,478.03515625
20.200,963.0390625,482.87109375
20.233,958.5,487.31640625
20.267,953.64453125,493.421875
20.300,949.6328125,500.3125
20.333,947.77734375,504.30078125
20.367,947.359375,507.48046875
20.400,946.67578125,511.26171875
20.433,946.8359375,514.50390625
20.467,947.453125,520.37109375
20.500,948.359375,527.58984375
20.533,949.26953125,536.1796875
20.567,949.76171875,545.3359375
20.600,950.74609375,554.30859375
20.633,951.5390625,562.484375
20.667,952.625,570.37109375
20.700,952.7890625,577.54296875
20.733,953.5390625,583.4765625
20.767,953.4453125,589.40234375
20.800,952.64453125,595.2578125
20.833,952.57421875,600.37109375
20.867,951.67578125,605.37109375
20.900,950.6015625,610.3671875
20.933,948.6953125,615.2421875
20.967,946.71484375,619.32421875
21.000,944.4453125,622.4296875
21.033,941.64453125,625.37109375
21.067,939.61328125,627.2890625
21.100,936.3671875,627.5703125
21.133,934.64453125,627.2265625
21.167,934.59765625,627.20703125
21.200,933.546875,626.27734375
21.233,932.62109375,626.32421875
21.267,932.5234375,634.51171875
21.300,932.61328125,646.37109375
21.333,932.609375,646.37109375
21.367,932.6328125,664.3046875
21.400,932.58984375,685.3515625
21.433,931.5390625,707.30859375
21.467,927.51171875,731.87109375
21.500,930.57421875,756.87109375
21.533,930.63671875,770.33203125
21.567,930.640625,770.28515625
21.600,930.65234375,779.27734375
21.633,930.69140625,785.37109375
21.667,929.69140625,793.52734375
21.700,929.40625,795.4921875
21.733,927.48828125,796.40625
21.767,925.5390625,797.26953125
21.800,923.21484375,797.046875
21.833,920.6015625,796.421875
21.867,917.17578125,795.03125
21.900,913.5078125,793.515625
21.933,909.5,792.48046875
21.967,904.85546875,791.1015625
22.000,899.83984375,788.76953125
22.033,894.27734375,785.76953125
22.067,888.21875,782.5390625
22.100,881.39453125,778.47265625
22.133,875.05859375,774.10546875
22.167,868.20703125,768.921875
22.200,863.2265625,762.6171875
22.233,859.87109375,754.96484375
22.267,859.87109375,754.96484375
22.300,856.96875,745.5390625
22.333,854.13671875,735.0546875
22.367,851.26171875,724.640625
22.400,849.1484375,713.76953125
22.433,847.1875,701.78515625
22.467,845.96484375,689.578125
22.500,844.1640625,675.76953125
22.533,844.18359375,660.6015625
22.567,845.9921875,644.75390625
22.600,848.15234375,627.76953125
22.633,851.98828125,611.76953125
22.667,856.01171875,596.75
22.700,859.15625,582.76953125
22.733,863.91015625,572.6640625
22.767,866.98828125,563.76953125
22.800,869.8671875,556.78515625
22.833,872.0390625,550.7890625
22.867,874.13671875,545.88671875
22.900,876.92578125,542.734375
22.933,878.99609375,539.83984375
22.967,881.8828125,536.85546875
23.000,884,534.9140625
23.033,886.87890625,533.89453125
23.067,889.19921875,533.66796875
23.100,892.1171875,532.76953125
23.133,895.0390625,532.7421875
23.167,897.9375,531.8359375
23.200,900.1796875,531.71875
23.233,903.0703125,530.828125
23.267,905.1796875,530.828125
23.300,907.95703125,529.76953125
23.333,910.1328125,529.74609375
23.367,912.3671875,529.46484375
23.400,914.01171875,529.3359375
23.433,915.94140625,529.171875
23.467,917.65234375,527.9921875
23.500,919.3984375,527.3125
23.533,920.76171875,528.09375
23.567,921.953125,528.140625
23.600,922.85546875,528.37109375
23.633,922.625,530.4140625
23.667,922.61328125,533.4609375
23.700,922.69140625,537.24609375
23.733,922.82421875,540.16796875
23.767,922.84375,543.18359375
23.800,922.54296875,548.24609375
23.833,922.37109375,551.296875
23.867,922.33984375,553.0234375
23.900,922.609375,555.06640625
23.933,923.05078125,557.1953125
23.967,923.64453125,559.44140625
24.000,924.40234375,562.328125
24.033,925.3359375,565.12109375
24.067,926.42578125,567.109375
24.100,927.7734375,568.11328125
24.133,928.9375,569.1640625
24.167,930.359375,570.2890625
24.200,931.70703125,572.34765625
24.233,932.6640625,575.35546875
24.267,933.44921875,582.1171875
24.300,932.90234375,596.140625
24.333,932.84765625,606.31640625
24.367,932.640625,620.3515625
