Time,X Position,Y Position
0.033,1001.92578125,653.5234375
0.067,1001.82421875,654.09375
0.100,1001.921875,655.18359375
0.133,1002.2734375,656.55078125
0.167,1002.65234375,657.30859375
0.200,1003.140625,658.16015625
0.233,1003.53515625,656.46484375
0.267,1003.55078125,651.79296875
0.300,1002.90625,643.265625
0.333,1001.6484375,632.01171875
0.367,999.7734375,618.93359375
0.400,998.0234375,607.23046875
0.433,997.640625,599.28125
0.467,996.99609375,593.30859375
0.500,997.71484375,590.0234375
0.533,997.953125,589.33203125
0.567,998.69921875,591.14453125
0.600,999.55078125,595.21484375
0.633,999.46875,600.09765625
0.667,998.74609375,605.21484375
0.700,997.9375,609.83984375
0.733,996.79296875,615.2421875
0.767,995.8125,622.05078125
0.800,994.6875,628.6875
0.833,992.74609375,635.05078125
0.867,990.69921875,640.71484375
0.900,987.74609375,646.81640625
0.933,983.82421875,653.25390625
0.967,978.9765625,658.94921875
1.000,973.61328125,663.0859375
1.033,967.83203125,665.05078125
1.067,963.7734375,663.125
1.100,963.7734375,657.97265625
1.133,969.80078125,648.03125
1.167,975.7734375,636.23828125
1.200,981.7734375,626.93359375
1.233,989.6875,619.05078125
1.267,996.90625,613.95703125
1.300,1003.7734375,611.12890625
1.333,1021.8125,607.30859375
1.367,1039.6875,600.8515625
1.400,1055.62890625,592.796875
1.433,1082.62890625,585.96484375
1.467,1093.80859375,591.21484375
1.500,1093.8046875,591.21484375
1.533,1102.7890625,599.2890625
1.567,1109.75390625,609.18359375
1.600,1114.85546875,628.9453125
1.633,1117.578125,637.39453125
1.667,1119.46875,646.4453125
1.700,1119.46875,646.4453125
1.733,1122.109375,664.8046875
1.767,1123.86328125,673.74609375
1.800,1125.6796875,682.45703125
1.833,1127.52734375,691.4296875
1.867,1131.4609375,699.48828125
1.900,1131.4609375,699.48828125
1.933,1137.40234375,704.1328125
1.967,1160.49609375,694.12109375
2.000,1172.44921875,682.24609375
2.033,1183.3046875,670.24609375
2.067,1193.36328125,662.35546875
2.100,1193.36328125,662.359375
2.133,1206.2109375,660
2.167,1207.4140625,662.1875
2.200,1206.21875,664.95703125
2.233,1202.2265625,667.27734375
2.267,1196.3828125,669.07421875
2.300,1190.1171875,667.08203125
2.333,1182.24609375,664.24609375
2.367,1170.42578125,661.9140625
2.400,1157.234375,660.38671875
2.433,1157.234375,660.38671875
2.467,1146.38671875,657.98828125
2.500,1133.16015625,655.59765625
2.533,1119.58203125,653.28125
2.567,1109.06640625,651.03515625
2.600,1101.421875,648.51953125
2.633,1071.9375,644.01953125
2.667,1062.51171875,643.34375
2.700,1052.1875,642.66796875
2.733,1021,643.2421875
2.767,1005.89453125,645.109375
2.800,991.07421875,647.8515625
2.833,975.2578125,650.23046875
2.867,958.953125,651.34765625
2.900,945.08984375,650.4765625
2.933,935.578125,647.0703125
2.967,928.890625,642.35546875
3.000,922.23046875,636.11328125
3.033,915.4375,628.94921875
3.067,909.17578125,622.37109375
3.100,904.31640625,617.18359375
3.133,900.359375,613
3.167,897.61328125,610.19921875
3.200,895.703125,608.53125
3.233,894.1875,607.3125
3.267,893.375,606.8515625
3.300,893.01953125,607.515625
3.333,892.81640625,608.10546875
3.367,893.890625,608.91015625
3.400,895.71875,609.8515625
3.433,898.13671875,610.609375
3.467,900.65625,611.5625
3.500,903.51171875,613.7421875
3.533,906.75,617.9453125
3.567,909.9921875,624.3515625
3.600,910.46484375,632.95703125
3.633,908.8203125,642.29296875
3.667,908.515625,650.9140625
3.700,909.5859375,656.85546875
3.733,912.4609375,661
3.767,916.40234375,664.2109375
3.800,921.86328125,666.90234375
3.833,929.5390625,669.8671875
3.867,937.875,672.98046875
3.900,947.8203125,676.23046875
3.933,959.5390625,679.24609375
3.967,971.4609375,680.13671875
4.000,982.66015625,682.921875
4.033,989.625,690.2890625
4.067,992.609375,701.09375
4.100,993.59375,711.17578125
4.133,993.76171875,720.21875
4.167,995.69140625,730.02734375
4.200,997.52734375,739.203125
4.233,1002.63671875,749.1640625
4.267,1013.62890625,758.015625
4.300,1027.73828125,762.94140625
4.333,1040.6953125,765.046875
4.367,1050.03125,766.6015625
4.400,1057.04296875,766.73828125
4.433,1063.88671875,765.2734375
4.467,1070.2265625,761.546875
4.500,1076.00390625,755.8671875
4.533,1081.06640625,747.8671875
4.567,1086.19921875,735.80078125
4.600,1093.30859375,707.046875
4.633,1096.34375,682.50390625
4.667,1096.34375,682.50390625
4.700,1098.25390625,663.4453125
4.733,1097.0859375,644.953125
4.767,1090.44921875,617.296875
4.800,1088.92578125,612.4296875
4.833,1088.92578125,612.4296875
4.867,1087.421875,612.46484375
4.900,1088,617.6796875
4.933,1087.34765625,618.70703125
4.967,1086.3828125,619.66796875
5.000,1086.37109375,619.62109375
5.033,1083.43359375,623.484375
5.067,1072.98046875,638.19140625
5.100,1066.38671875,645.328125
5.133,1060.1953125,651.23046875
5.167,1054.0859375,656.15625
5.200,1054.078125,656.1875
5.233,1045.1015625,668.5390625
5.267,1042.28515625,674.609375
5.300,1038.9453125,678.921875
5.333,1033.875,681.53515625
5.367,1033.87109375,681.53515625
5.400,1019.33203125,685.203125
5.433,1011.125,687.4765625
5.467,1002.51171875,689.60546875
5.500,994.3359375,691.2734375
5.533,987.28515625,691.59765625
5.567,980.28515625,690.5703125
5.600,973.04296875,689.36328125
5.633,964.33203125,687.5078125
5.667,957.3203125,685.66015625
5.700,951.1328125,684.3125
5.733,951.1328125,684.3125
5.767,946.03515625,682.40234375
5.800,944.19921875,679.515625
5.833,944.46484375,674.44921875
5.867,945.265625,668.62109375
5.900,945.34765625,664.3359375
5.933,945.44921875,661.41796875
5.967,947.046875,659.546875
6.000,949.19921875,658.38671875
6.033,953.359375,657.5
6.067,960.2734375,656.609375
6.100,969.1796875,656.30078125
6.133,976.3515625,655.4140625
6.167,983.23046875,653.60546875
6.200,989.9765625,652.4140625
6.233,996.1953125,651.63671875
6.267,1003.046875,651.484375
6.300,1009.0859375,650.63671875
6.333,1014.14453125,650.59765625
6.367,1019.1484375,650.6484375
6.400,1024.1171875,651.38671875
6.433,1029.16796875,652.30078125
6.467,1034.24609375,652.59375
6.500,1039.15625,654.734375
6.533,1042.28515625,660.62109375
6.567,1045.0625,668.51953125
6.600,1045.10546875,679.5234375
6.633,1044.13671875,688.76953125
6.667,1043.3515625,693.515625
6.700,1044.25390625,691.62890625
6.733,1046.203125,683.84375
6.767,1048.14453125,673.41796875
6.800,1048.1953125,663.3671875
6.833,1047.265625,656.37890625
6.867,1047.2109375,652.55859375
6.900,1047.078125,651.546875
6.933,1049.16796875,651.39453125
6.967,1056.1640625,648.7109375
7.000,1064.23828125,641.546875
7.033,1069.36328125,630.6640625
7.067,1071.140625,621.65625
7.100,1070.1171875,617.765625
7.133,1066.91796875,618.67578125
7.167,1060.1328125,624.7265625
7.200,1049.41015625,632.5
7.233,1034.4375,641.234375
7.267,1018.0234375,649.47265625
7.300,1000.28125,654.82421875
7.333,983.38671875,656.28125
7.367,967.17578125,654.68359375
7.400,951.26171875,652.49609375
7.433,937.8828125,649.85546875
7.467,925.94921875,647.69140625
7.500,915.3515625,645.32421875
7.533,907.44921875,642.84765625
7.567,903.1328125,639.37109375
7.600,904.375,633.8046875
7.633,911.43359375,625.61328125
7.667,920.1875,615.4375
7.700,926.28515625,606.39453125
7.733,931.0546875,599.53125
7.767,934.05078125,599.37890625
7.800,936.07421875,605.42578125
7.833,937.25390625,615.61328125
7.867,936.26171875,626.41796875
7.900,932.1953125,637.46875
7.933,927.12890625,647.6640625
7.967,922.1484375,656.65234375
8.000,917.90625,663.21875
8.033,913.68359375,668.34765625
8.067,903.8984375,676.015625
8.100,898.9765625,679.3359375
8.133,898.9765625,679.3359375
8.167,894.55859375,682.15234375
8.200,886.5,683.0859375
8.233,882.52734375,681.26171875
8.267,879.96484375,679.0390625
8.300,879.9609375,679
8.333,879.859375,676.43359375
8.367,882.87109375,671.40234375
8.400,885.6484375,669.35546875
8.433,888.7890625,668.0078125
8.467,892.6484375,666.30859375
8.500,898.6484375,664.99609375
8.533,898.6484375,664.99609375
8.567,908.41796875,662.15234375
8.600,940.953125,654.09375
8.633,953.5703125,649.28515625
8.667,960.6953125,646.36328125
8.700,969.49609375,644.95703125
8.733,977.65625,643.44140625
8.767,977.65625,643.44140625
8.800,994.47265625,640.87109375
8.833,1002.46875,639.3203125
8.867,1009.8125,638.3984375
8.900,1018.41015625,637.91796875
8.933,1026.47265625,636.984375
8.967,1034.703125,635.390625
9.000,1042.6796875,634.23046875
9.033,1042.6796875,634.23046875
9.067,1049.9375,633.12109375
9.100,1056.49609375,632.88671875
9.133,1062.49609375,632.26171875
9.167,1067.76171875,633.1171875
9.200,1072.87890625,634.2578125
9.233,1077.703125,636.26953125
9.267,1081.6484375,639.25
9.300,1084.71484375,643.2734375
9.333,1085.99609375,648.93359375
9.367,1085.3046875,655.46484375
9.400,1082.859375,662.45703125
9.433,1080.31640625,667.90625
9.467,1077.90625,672.36328125
9.500,1075.5703125,675.390625
9.533,1074.7265625,677.1796875
9.567,1074.45703125,677.49609375
9.600,1074.703125,678.15234375
9.633,1076.59375,677.26953125
9.667,1076.75390625,677.04296875
9.700,1074.7109375,680.078125
9.733,1068.875,686.08984375
9.767,1061.80078125,693.3984375
9.800,1054.734375,700.26171875
9.833,1047.6484375,705.86328125
9.867,1041.7109375,710.2578125
9.900,1036.4609375,715.03125
9.933,1033.56640625,718.30859375
9.967,1033.625,720
10.000,1035.57421875,718.953125
10.033,1035.59375,715.96484375
10.067,1034.58203125,712.33984375
10.100,1032.59765625,707.40234375
10.133,1030.76171875,700.8359375
10.167,1029.6484375,692.04296875
10.200,1027.65625,681.34375
10.233,1023.54296875,669.15234375
10.267,1017.78125,656.09765625
10.300,1011.4453125,643.4140625
10.333,1004.8125,632.25
10.367,999.90625,624.41015625
10.400,996.85546875,620.32421875
10.433,994.51953125,619.10546875
10.467,991.828125,618.05859375
10.500,989.4453125,616.19921875
10.533,985.72265625,614.921875
10.567,981.66015625,613.3984375
10.600,977.88671875,613.93359375
10.633,973.734375,616.265625
10.667,970.48046875,622.015625
10.700,965.6953125,627.9921875
10.733,959.53125,633.51171875
10.767,953.2890625,638.40625
10.800,946.78515625,641.38671875
10.833,939.01171875,643.2265625
10.867,930.96484375,645.0546875
10.900,922.46875,648.12109375
10.933,914.49609375,652.125
10.967,905.65625,657.26171875
11.000,896.67578125,663.3515625
11.033,887.6484375,669.2265625
11.067,877.80078125,673.89453125
11.100,871.8984375,677.0625
11.133,866.8359375,678.32421875
11.167,863.5390625,678.2265625
11.200,860.6484375,677.265625
11.233,858.5703125,676.25390625
11.267,856.58203125,674.27734375
11.300,858.6484375,673.265625
11.333,858.6484375,673.265625
11.367,864.49609375,671.19921875
11.400,872.6484375,668.02734375
11.433,880.73046875,664.01953125
11.467,888.7734375,659.2578125
11.500,905.50390625,652.15234375
11.533,914.73828125,649.22265625
11.567,924.48828125,646.21484375
11.600,933.76171875,643.1875
11.633,933.76171875,643.1875
11.667,949.4375,640.15234375
11.700,954.6484375,641.01953125
11.733,959.7890625,643.12109375
11.767,959.7890625,643.12109375
11.800,965.68359375,645.31640625
11.833,986.55859375,643.16015625
11.867,995.8046875,637.07421875
11.900,1002.78515625,630.10546875
11.933,1009.53515625,626.0234375
11.967,1014.5234375,622.08203125
12.000,1017.5859375,621.02734375
12.033,1016.74609375,622.1796875
12.067,1013.59765625,626.30859375
12.100,1007.6015625,632.09765625
12.133,1001.48046875,639.36328125
12.167,995.41015625,646.96484375
12.200,987.79296875,652.41015625
12.233,981.640625,657.81640625
12.267,975.69140625,663.02734375
12.300,970.5234375,668.109375
12.333,965.6484375,672.95703125
12.367,965.6484375,672.95703125
12.400,961.4921875,677.15234375
12.433,957.65234375,681.25
12.467,954.52734375,685.21875
12.500,951.4375,690.15234375
12.533,946.5546875,694.29296875
12.567,941.52734375,697.15234375
12.600,934.62109375,697.15234375
12.633,927.7734375,696.33203125
12.667,925.75,696.96875
12.700,922.71875,697.4453125
12.733,923.6484375,699.00390625
12.767,928.578125,699.90234375
12.800,935.78515625,699.35546875
12.833,942.734375,698.09765625
12.867,947.6640625,696.2109375
12.900,951.61328125,694.109375
12.933,954.734375,691.03515625
12.967,957.54296875,686.15234375
13.000,958.8359375,681.265625
13.033,960.65234375,677.21875
13.067,960.76953125,674.9921875
13.100,959.53125,674.21484375
13.133,956.7734375,675.21875
13.167,958.6875,675.1796875
13.200,963.71484375,672.23046875
13.233,968.4296875,667.23046875
13.267,969.671875,663.19140625
13.300,969.4296875,661.95703125
13.333,968.953125,661.23046875
13.367,970.765625,661.86328125
13.400,972.73828125,662.96875
13.433,972.75390625,665.34765625
13.467,969.765625,669.953125
13.500,964.74609375,676.421875
13.533,958.75390625,683.984375
13.567,953.54296875,689.4609375
13.600,948.78125,693.421875
13.633,943.99609375,697.1796875
13.667,938.7265625,700.93359375
13.700,933.90234375,703.390625
13.733,929.89453125,705.328125
13.767,926.84765625,706.921875
13.800,924.6484375,708.44140625
13.833,922.85546875,710.828125
13.867,921.83203125,713.36328125
13.900,920.88671875,716.26171875
13.933,920.48046875,718.421875
13.967,920.671875,720.453125
14.000,920.80859375,722.2890625
14.033,921.609375,724.14453125
14.067,922.46484375,725.98828125
14.100,923.0234375,727.54296875
14.133,924.6953125,729.3203125
