Time,X Position,Y Position
0.033,880.3828125,656.21484375
0.067,878.0546875,656.5703125
0.100,875.5546875,657.42578125
0.133,874.35546875,658.18359375
0.167,875.7734375,658.2890625
0.200,880.06640625,657.62109375
0.233,887.03125,656.0390625
0.267,894.84375,653.87109375
0.300,901.7734375,651.7265625
0.333,906.40234375,651.11328125
0.367,909.1640625,653.125
0.400,910.2109375,656.03515625
0.433,910.828125,658.2265625
0.467,910.66015625,659.81640625
0.500,910.65234375,661.51953125
0.533,910.97265625,662.65625
0.567,911.6015625,663.66796875
0.600,912.53125,664.81640625
0.633,913.015625,665.67578125
0.667,913.14453125,665.78125
0.700,913.27734375,665.828125
0.733,913.47265625,666.69140625
0.767,914.0390625,666.8046875
0.800,914.25,667.7265625
0.833,913.15234375,665.87109375
0.867,908.328125,662.49609375
0.900,900.25390625,658.7265625
0.933,890.18359375,654.8671875
0.967,880.9140625,650.515625
1.000,872.4609375,644.2265625
1.033,864.9921875,639.45703125
1.067,858.81640625,638.16015625
1.100,852.9765625,637.18359375
1.133,847.71875,636.6796875
1.167,842.4765625,636.7421875
1.200,838.7890625,638.18359375
1.233,837.23046875,640.71484375
1.267,835.0625,655.125
1.300,841.3984375,656.55859375
1.333,850.234375,656.84765625
1.367,850.234375,656.84765625
1.400,855.59765625,657.625
1.433,861.765625,666.390625
1.467,867.73046875,671.94921875
1.500,869.72265625,675.93359375
1.533,875.97265625,685.6015625
1.567,879.46484375,685.19140625
1.600,885.63671875,685.5390625
1.633,888.83203125,686.07421875
1.667,893.67578125,686.75390625
1.700,893.67578125,686.75
1.733,903.1796875,688.38671875
1.767,906.0625,689.42578125
1.800,908.33203125,690.51171875
1.833,909.640625,691.21484375
1.867,911.54296875,692.0625
1.900,911.53515625,692.05859375
1.933,913.171875,692.78125
1.967,916.51953125,694.2421875
2.000,917.9296875,694.98828125
2.033,919.34765625,694.96484375
2.067,921.9140625,695.0390625
2.100,922.02734375,695.04296875
2.133,922.78125,694.8515625
2.167,922.046875,694.55078125
2.200,921.04296875,694.0078125
2.233,919.15234375,693.87890625
2.267,917.0078125,693.60546875
2.300,913.07421875,692.80078125
2.333,909.28125,691.97265625
2.367,903.734375,691.19921875
2.400,898.03125,689.69921875
